Date,Open,High,Low,Close,Volume
1/11/2016,193.009995,193.410004,189.820007,192.110001,187941300
1/12/2016,193.820007,194.550003,191.139999,193.660004,172330500
1/13/2016,194.449997,194.860001,188.380005,188.830002,221168900
1/14/2016,189.550003,193.259995,187.660004,191.929993,240795600
1/15/2016,186.770004,188.759995,185.520004,187.809998,324846400
1/19/2016,189.960007,190.110001,186.199997,188.059998,195244400
1/20/2016,185.029999,187.5,181.020004,185.649994,286547800
1/21/2016,186.210007,188.869995,184.639999,186.690002,195772900
1/22/2016,189.779999,190.759995,188.880005,190.520004,168319600
1/25/2016,189.919998,190.149994,187.410004,187.639999,130371700
1/26/2016,188.419998,190.529999,188.020004,190.199997,141036800
1/27/2016,189.580002,191.559998,187.059998,188.130005,185681700
1/28/2016,189.960007,190.199997,187.160004,189.110001,143798800
1/29/2016,190.020004,193.880005,189.880005,193.720001,210529300
2/1/2016,192.529999,194.580002,191.839996,193.649994,136061600
2/2/2016,191.960007,191.970001,189.539993,190.160004,182564900
2/3/2016,191.410004,191.779999,187.100006,191.300003,205054900
2/4/2016,190.710007,192.75,189.960007,191.600006,139531800
2/5/2016,190.990005,191.669998,187.199997,187.949997,180788300
2/8/2016,185.770004,186.119995,182.800003,185.419998,191526700
2/9/2016,183.360001,186.940002,183.199997,185.429993,184513100
2/10/2016,186.410004,188.339996,185.119995,185.270004,148214100
2/11/2016,182.339996,184.100006,181.089996,182.860001,219058900
2/12/2016,184.960007,186.649994,183.960007,186.630005,127632400
2/16/2016,188.770004,189.809998,187.630005,189.779999,120250700
2/17/2016,191.160004,193.320007,191.009995,192.880005,136009500
2/18/2016,193.199997,193.270004,191.720001,192.089996,102343000
2/19/2016,191.169998,192.179993,190.449997,192,114793000
2/22/2016,193.869995,194.949997,193.789993,194.779999,103640300
2/23/2016,194,194.320007,192.179993,192.320007,111455300
2/24/2016,190.630005,193.529999,189.320007,193.199997,150812200
2/25/2016,193.729996,195.550003,192.830002,195.539993,110728300
2/26/2016,196.570007,196.679993,194.899994,195.089996,129833700
2/29/2016,195.110001,196.229996,193.330002,193.559998,125918100
3/1/2016,195.009995,198.210007,194.449997,198.110001,141799700
3/2/2016,197.740005,199.059998,197.25,199,102415000
3/3/2016,198.789993,199.800003,198.110001,199.779999,95172200
3/4/2016,200.009995,201.350006,199.029999,200.429993,129293600
3/7/2016,199.339996,201.070007,199.25,200.589996,100219000
3/8/2016,199.320007,199.919998,198.210007,198.399994,123974900
3/9/2016,199.360001,199.789993,198.429993,199.380005,94801200
3/10/2016,199.960007,201.070007,197.380005,199.539993,156838700
3/11/2016,201.259995,202.809998,199.520004,202.759995,137964500
3/14/2016,202.160004,203.039993,201.770004,202.5,73612000
3/15/2016,201.360001,202.529999,201.050003,202.169998,93169100
3/16/2016,201.600006,203.820007,201.550003,203.339996,129303200
3/17/2016,203.240005,205.229996,202.770004,204.630005,134278500
